blst,flh,sup,cag,fag,age,inX,outY
0,0,28.2,852.1,893.7,28,0.266892528,4.032468904
106.3,0,16.5,852.1,887.1,28,0.361176471,4.099165994
212.5,0,14.3,852.1,880.4,28,0.488393977,4.016382767
94.7,0,11.4,946.8,852.1,28,0.366849179,4.226833479
189,0,11.6,944.7,755.8,28,0.454771098,4.266896058
282.8,0,10.3,942.7,659.9,28,0.5678097,4.31347982
151.2,0,15.9,1134.3,605,28,0.405533597,3.955082245
189,0,11.6,944.7,755.8,28,0.454771098,4.266896058
200.9,0,11.2,1004.6,803.7,28,0.505413902,4.215085914
189,0,11.6,944.7,755.8,28,0.454771098,4.266896058
177,0,11.1,884.9,707.9,28,0.423690205,4.189654478
189,0,22,944.7,755.8,28,0.374198512,4.310798853
189,0,11.6,944.7,755.8,28,0.454771098,4.266896058
189,0,9.5,944.7,755.8,28,0.51760876,3.910020756
189.2,0,10.1,926.1,756.7,56,0.454812834,4.1494636
262.2,0,8.6,1046.9,611.8,56,0.560165975,4.17284736
106.3,0,16.5,852.1,887.1,56,0.361176471,4.163559368
106.3,0,18.6,936,803.7,56,0.356235294,4.17284736
93.8,0,23.4,852.1,992.6,56,0.3376,4.097672094
118.8,0,8.9,852.1,781.5,56,0.381263158,4.280823859
117.2,0,32.2,852.1,840.5,56,0.293816631,4.238444639
106.3,0,16.5,852.1,887.1,56,0.361176471,4.163559368
97.1,0,12.1,852.1,925.7,56,0.406330417,4.0109627
0,0,28.2,852.1,893.7,56,0.266892528,4.074141598
106.3,0,16.5,852.1,887.1,56,0.361176471,4.163559368
212.5,0,14.3,852.1,880.4,56,0.488393977,4.191168482
94.7,0,11.4,946.8,852.1,56,0.366849179,4.300002528
189,0,11.6,944.7,755.8,56,0.454771098,4.347693681
282.8,0,10.3,942.7,659.9,56,0.5678097,4.384523238
151.2,0,15.9,1134.3,605,56,0.405533597,4.005513096
189,0,11.6,944.7,755.8,56,0.454771098,4.347693681
200.9,0,11.2,1004.6,803.7,56,0.505413902,4.290322175
189,0,11.6,944.7,755.8,56,0.454771098,4.347693681
177,0,11.1,884.9,707.9,56,0.423690205,4.272490478
189,0,22,944.7,755.8,56,0.374198512,4.374498092
189,0,11.6,944.7,755.8,56,0.454771098,4.347693681
189,0,9.5,944.7,755.8,56,0.51760876,4.092509288
189.2,0,10.1,926.1,756.7,91,0.454812834,4.17284736
262.2,0,8.6,1046.9,611.8,91,0.560165975,4.198704313
106.3,0,16.5,852.1,887.1,91,0.361176471,4.177459205
106.3,0,18.6,936,803.7,91,0.356235294,4.200204688
93.8,0,23.4,852.1,992.6,91,0.3376,4.135166296
118.8,0,8.9,852.1,781.5,91,0.381263158,4.306629098
117.2,0,32.2,852.1,840.5,91,0.293816631,4.258445304
106.3,0,16.5,852.1,887.1,91,0.361176471,4.177459205
97.1,0,12.1,852.1,925.7,91,0.406330417,4.053522312
0,0,28.2,852.1,893.7,91,0.266892528,4.080921284
106.3,0,16.5,852.1,887.1,91,0.361176471,4.177459205
212.5,0,14.3,852.1,880.4,91,0.488393977,4.220976947
94.7,0,11.4,946.8,852.1,91,0.366849179,4.324132383
189,0,11.6,944.7,755.8,91,0.454771098,4.373237853
151.2,0,15.9,1134.3,605,91,0.405533597,4.034240384
189,0,11.6,944.7,755.8,91,0.454771098,4.373237853
200.9,0,11.2,1004.6,803.7,91,0.505413902,4.341204366
189,0,11.6,944.7,755.8,91,0.454771098,4.373237853
177,0,11.1,884.9,707.9,91,0.423690205,4.294560338
189,0,22,944.7,755.8,91,0.374198512,4.414009402
189,0,11.6,944.7,755.8,91,0.454771098,4.373237853
189,0,9.5,944.7,755.8,91,0.51760876,4.216561929
0,96.7,4.5,967.1,870.3,3,0.851169065,2.449279318
0,96.7,4.5,967.1,870.3,14,0.851169065,3.196630014
0,96.7,4.5,967.1,870.3,28,0.851169065,3.214465914
0,96.7,4.5,967.1,870.3,56,0.851169065,3.382693697
0,96.7,4.5,967.1,870.3,100,0.851169065,3.706473529
0,94.6,4.6,947,852.2,3,0.846449957,2.33988073
0,94.6,4.6,947,852.2,14,0.846449957,3.097385732
0,94.6,4.6,947,852.2,28,0.846449957,3.128513187
0,94.6,4.6,947,852.2,56,0.846449957,3.319987117
0,94.6,4.6,947,852.2,100,0.846449957,3.54269672
0,100.5,7.5,1006.4,905.9,3,0.850539291,2.521720464
0,100.5,7.5,1006.4,905.9,14,0.850539291,3.218475542
0,100.5,7.5,1006.4,905.9,28,0.850539291,3.247268694
0,100.5,7.5,1006.4,905.9,56,0.850539291,3.525183139
0,100.5,7.5,1006.4,905.9,100,0.850539291,3.62006491
0,125.4,7.8,1090,804,3,0.850026219,2.710713147
0,125.4,7.8,1090,804,14,0.850026219,3.047375314
0,125.4,7.8,1090,804,28,0.850026219,3.273363804
0,125.4,7.8,1090,804,56,0.850026219,3.565015242
0,125.4,7.8,1090,804,100,0.850026219,3.703028644
0,121.6,5.7,1057.6,779.3,3,0.850070721,2.5233256
0,121.6,5.7,1057.6,779.3,14,0.850070721,3.040705447
0,121.6,5.7,1057.6,779.3,28,0.850070721,3.214867601
0,121.6,5.7,1057.6,779.3,56,0.850070721,3.532225421
0,121.6,5.7,1057.6,779.3,100,0.850070721,3.679081379
0,118.3,4.6,1029.4,758.6,3,0.85,2.305580456
0,118.3,4.6,1029.4,758.6,14,0.85,2.999724106
0,118.3,4.6,1029.4,758.6,28,0.85,3.197856256
0,118.3,4.6,1029.4,758.6,56,0.85,3.451256364
0,118.3,4.6,1029.4,758.6,100,0.85,3.565015242
0,125.2,9.9,1088.1,802.6,3,0.850761955,2.2460146
0,125.2,9.9,1088.1,802.6,14,0.850761955,3.123245397
0,125.2,9.9,1088.1,802.6,28,0.850761955,3.34885069
0,125.2,9.9,1088.1,802.6,56,0.850761955,3.652215239
0,125.2,9.9,1088.1,802.6,100,0.850761955,3.698581996
0,163.3,4.5,1058.6,780.1,3,1.062612884,2.375835405
0,163.3,4.5,1058.6,780.1,14,1.062612884,3.237893626
0,163.3,4.5,1058.6,780.1,28,1.062612884,3.069911478
0,163.3,4.5,1058.6,780.1,56,1.062612884,3.354454907
0,163.3,4.5,1058.6,780.1,100,1.062612884,3.512738535
42.1,163.8,5.7,1058.7,780.1,3,0.725,2.047692714
42.1,163.8,5.7,1058.7,780.1,14,0.725,2.88032124
42.1,163.8,5.7,1058.7,780.1,28,0.725,3.18800396
42.1,163.8,5.7,1058.7,780.1,56,0.725,3.491951525
42.1,163.8,5.7,1058.7,780.1,100,0.725,3.669441529
98.1,24.5,6.9,1065.8,785.4,3,0.85025737,2.890371575
98.1,24.5,6.9,1065.8,785.4,14,0.85025737,3.414113391
98.1,24.5,6.9,1065.8,785.4,28,0.85025737,3.822316851
98.1,24.5,6.9,1065.8,785.4,56,0.85025737,3.927305381
98.1,24.5,6.9,1065.8,785.4,100,0.85025737,3.987130226
98.1,24.5,6.7,1066,785.5,3,0.849859682,2.578700366
98.1,24.5,6.7,1066,785.5,14,0.849859682,2.881442945
98.1,24.5,6.7,1066,785.5,28,0.849859682,3.694612753
98.1,24.5,6.7,1066,785.5,56,0.849859682,3.852909498
98.1,24.5,6.7,1066,785.5,100,0.849859682,3.911422579
0,118.2,6.1,1028.1,757.6,3,0.849804092,2.592265005
0,118.2,6.1,1028.1,757.6,14,0.849804092,3.105482942
0,118.2,6.1,1028.1,757.6,28,0.849804092,3.200304237
0,118.2,6.1,1028.1,757.6,56,0.849804092,3.44521405
0,118.2,6.1,1028.1,757.6,100,0.849804092,3.710151355
0,94.1,7,949.9,847,3,0.784124318,2.992225945
0,94.1,7,949.9,847,14,0.784124318,3.246101606
0,94.1,7,949.9,847,28,0.784124318,3.408834594
0,94.1,7,949.9,847,56,0.784124318,3.678576329
0,94.1,7,949.9,847,100,0.784124318,3.790984438
0,95.7,5.5,956.9,861.2,3,0.7496,2.626116653
0,95.7,5.5,956.9,861.2,14,0.7496,3.215670491
0,95.7,5.5,956.9,861.2,28,0.7496,3.374853193
0,95.7,5.5,956.9,861.2,56,0.7496,3.646232649
0,95.7,5.5,956.9,861.2,100,0.7496,3.745968185
0,100.4,8.7,1007.8,903.6,3,0.749647059,2.605648103
0,100.4,8.7,1007.8,903.6,14,0.749647059,3.269948889
0,100.4,8.7,1007.8,903.6,28,0.749647059,3.454421925
0,100.4,8.7,1007.8,903.6,56,0.749647059,3.750679618
0,100.4,8.7,1007.8,903.6,100,0.749647059,3.759337681
0,100.4,10.4,1003.8,903.8,3,0.749764817,2.590016971
0,100.4,10.4,1003.8,903.8,14,0.749764817,3.23356717
0,100.4,10.4,1003.8,903.8,28,0.749764817,3.621670476
0,100.4,10.4,1003.8,903.8,56,0.749764817,3.79323923
0,100.4,10.4,1003.8,903.8,100,0.749764817,3.865769377
0,124.8,7.8,1085.4,799.5,3,0.75,2.971439393
0,124.8,7.8,1085.4,799.5,14,0.75,3.44521405
0,124.8,7.8,1085.4,799.5,28,0.75,3.650658011
0,124.8,7.8,1085.4,799.5,56,0.75,3.808438449
0,124.8,7.8,1085.4,799.5,100,0.75,3.867443718
0,121.6,6.7,1056.4,778.5,3,0.75064711,2.736961372
0,121.6,6.7,1056.4,778.5,14,0.75064711,3.28728165
0,121.6,6.7,1056.4,778.5,28,0.75064711,3.518387427
0,121.6,6.7,1056.4,778.5,56,0.75064711,3.754198683
0,121.6,6.7,1056.4,778.5,100,0.75064711,3.825156831
0,118.3,5.8,1028.4,757.7,3,0.749801114,2.846071319
0,118.3,5.8,1028.4,757.7,14,0.749801114,3.398861107
0,118.3,5.8,1028.4,757.7,28,0.749801114,3.389461912
0,118.3,5.8,1028.4,757.7,56,0.749801114,3.610106545
0,118.3,5.8,1028.4,757.7,100,0.749801114,3.774598091
0,118.3,6.4,1028.4,757.7,3,0.749801114,2.574137621
0,118.3,6.4,1028.4,757.7,14,0.749801114,3.195811684
0,118.3,6.4,1028.4,757.7,28,0.749801114,3.486150868
0,118.3,6.4,1028.4,757.7,56,0.749801114,3.601140313
0,118.3,6.4,1028.4,757.7,100,0.749801114,3.788950769
0,167,7.6,1055.6,777.8,3,0.934950386,2.611539136
0,167,7.6,1055.6,777.8,14,0.934950386,3.072693121
0,167,7.6,1055.6,777.8,28,0.934950386,3.323956092
0,167,7.6,1055.6,777.8,56,0.934950386,3.571502361
0,167,7.6,1055.6,777.8,100,0.934950386,3.814850853
45.2,122,8.2,1059.4,780.7,3,0.935164835,1.990610202
45.2,122,8.2,1059.4,780.7,14,0.935164835,3.068052742
45.2,122,8.2,1059.4,780.7,28,0.935164835,3.442658954
45.2,122,8.2,1059.4,780.7,56,0.935164835,3.7727607
45.2,122,8.2,1059.4,780.7,100,0.935164835,3.885062579
42.2,124.3,10.8,1080.8,796.2,3,0.937240971,2.001479874
42.2,124.3,10.8,1080.8,796.2,14,0.937240971,3.157425663
42.2,124.3,10.8,1080.8,796.2,28,0.937240971,3.437850482
42.2,124.3,10.8,1080.8,796.2,56,0.937240971,3.667400191
42.2,124.3,10.8,1080.8,796.2,100,0.937240971,3.874320894
0,96.2,9.4,961.2,865,3,0.578856749,3.113515113
0,96.2,9.4,961.2,865,14,0.578856749,3.545874536
0,96.2,9.4,961.2,865,28,0.578856749,3.547891537
0,96.2,9.4,961.2,865,56,0.578856749,3.808438449
0,96.2,9.4,961.2,865,100,0.578856749,3.89120762
0,97.4,11.8,973.9,875.6,3,0.579574161,3.141562524
0,97.4,11.8,973.9,875.6,14,0.579574161,3.735046899
0,97.4,11.8,973.9,875.6,28,0.579574161,3.877017152
0,97.4,11.8,973.9,875.6,56,0.579574161,3.932609391
0,97.4,11.8,973.9,875.6,100,0.579574161,4.018902113
0,95.6,8.9,955.1,859.2,3,0.579979709,3.133317739
0,95.6,8.9,955.1,859.2,14,0.579979709,3.561897768
0,95.6,8.9,955.1,859.2,28,0.579979709,3.687378095
0,95.6,8.9,955.1,859.2,56,0.579979709,3.886089378
0,95.6,8.9,955.1,859.2,100,0.579979709,3.952012404
0,99.9,12.4,1006,899.8,3,0.580222399,3.045474173
0,99.9,12.4,1006,899.8,14,0.580222399,3.507357356
0,99.9,12.4,1006,899.8,28,0.580222399,3.524594037
0,99.9,12.4,1006,899.8,56,0.580222399,3.787366162
0,99.9,12.4,1006,899.8,100,0.580222399,3.814850853
0,98.8,12.8,987.8,889,3,0.634684866,2.731766555
0,98.8,12.8,987.8,889,14,0.634684866,3.356199804
0,98.8,12.8,987.8,889,28,0.634684866,3.429136534
0,98.8,12.8,987.8,889,56,0.634684866,3.738383413
0,98.8,12.8,987.8,889,100,0.634684866,3.933001164
0,98.8,14.2,987.8,889,3,0.57986524,3.080991923
0,98.8,14.2,987.8,889,14,0.57986524,3.744550415
0,98.8,14.2,987.8,889,28,0.57986524,3.923951329
0,98.8,14.2,987.8,889,56,0.57986524,4.022311105
0,98.8,14.2,987.8,889,100,0.57986524,4.110053597
0,125.1,12,1086.8,800.9,3,0.580632091,3.157850924
0,125.1,12,1086.8,800.9,14,0.580632091,3.742893806
0,125.1,12,1086.8,800.9,28,0.580632091,3.96081292
0,125.1,12,1086.8,800.9,56,0.580632091,4.099663465
0,125.1,12,1086.8,800.9,100,0.580632091,4.195997951
0,121.4,9.9,1053.6,777.5,3,0.579789168,3.169685381
0,121.4,9.9,1053.6,777.5,14,0.579789168,3.657646521
0,121.4,9.9,1053.6,777.5,28,0.579789168,3.938275128
0,121.4,9.9,1053.6,777.5,56,0.579789168,4.040415965
0,121.4,9.9,1053.6,777.5,100,0.579789168,4.070905074
0,117.5,9.5,1022.8,753.5,3,0.588156124,3.086942959
0,117.5,9.5,1022.8,753.5,14,0.588156124,3.610647378
0,117.5,9.5,1022.8,753.5,28,0.588156124,3.858621985
0,117.5,9.5,1022.8,753.5,56,0.588156124,3.950473943
0,117.5,9.5,1022.8,753.5,100,0.588156124,4.038479175
0,174.7,10.2,1053.5,776.4,3,0.724379972,2.866192721
0,174.7,10.2,1053.5,776.4,14,0.724379972,3.518387427
0,174.7,10.2,1053.5,776.4,28,0.724379972,3.692622207
0,174.7,10.2,1053.5,776.4,56,0.724379972,3.8424583
0,174.7,10.2,1053.5,776.4,100,0.724379972,3.91362148
0,174.2,11.7,1052.3,775.5,3,0.72412178,2.8547444
0,174.2,11.7,1052.3,775.5,14,0.72412178,3.517497615
0,174.2,11.7,1052.3,775.5,28,0.72412178,3.827335956
0,174.2,11.7,1052.3,775.5,56,0.72412178,3.940221411
0,174.2,11.7,1052.3,775.5,100,0.72412178,4.082609048
97.8,24.5,11.2,1061.7,782.5,3,0.57972583,3.416085779
97.8,24.5,11.2,1061.7,782.5,14,0.57972583,3.865140776
97.8,24.5,11.2,1061.7,782.5,28,0.57972583,4.145354222
97.8,24.5,11.2,1061.7,782.5,56,0.57972583,4.202002172
97.8,24.5,11.2,1061.7,782.5,100,0.57972583,4.203945807
54.6,123.8,11.9,1075.7,792.7,3,0.64527956,3.311272465
54.6,123.8,11.9,1075.7,792.7,14,0.64527956,3.582406984
54.6,123.8,11.9,1075.7,792.7,28,0.64527956,4.016562931
54.6,123.8,11.9,1075.7,792.7,56,0.64527956,4.126972821
54.6,123.8,11.9,1075.7,792.7,100,0.64527956,4.151511973
53.8,121.9,9.6,1014.3,780.6,3,0.724057701,2.89148207
53.8,121.9,9.6,1014.3,780.6,14,0.724057701,3.653252046
53.8,121.9,9.6,1014.3,780.6,28,0.724057701,3.955082245
53.8,121.9,9.6,1014.3,780.6,56,0.724057701,3.98824278
53.8,121.9,9.6,1014.3,780.6,100,0.724057701,4.036538625
0,124.1,11.3,1078.7,794.9,3,0.72407492,2.730463624
0,124.1,11.3,1078.7,794.9,14,0.72407492,3.260017562
0,124.1,11.3,1078.7,794.9,28,0.72407492,3.408503742
0,124.1,11.3,1078.7,794.9,56,0.72407492,3.618188485
0,124.1,11.3,1078.7,794.9,100,0.72407492,3.833628696
0,0,0,1003.5,762.4,3,0.570744681,2.789937185
0,0,0,1003.5,762.4,14,0.570744681,3.243373092
0,0,0,1003.5,762.4,28,0.570744681,3.464797744
0,0,0,1003.5,762.4,56,0.570744681,3.591817515
0,0,0,1003.5,762.4,100,0.570744681,3.762594254
0,0,4,966,853,28,0.28,4.213163832
0,59,1.9,1098,641,28,0.298947368,4.047077981
137,0,5.9,1130,745,28,0.46031746,4.403665532
0,60,0,1030,630,28,0.386138614,4.159195272
0,0,11.3,1030,745,28,0.365853659,4.366912721
0,0,8.2,801,802,28,0.313953488,3.722555746
0,0,5.2,855,855,28,0.326923077,4.099000115
0,0,6.9,920,720,28,0.350378788,4.0400641
0,0,5.2,870,805,28,0.336538462,3.932217465
0,136,20,903,768,28,0.41038961,4.017283263
0,0,3,1124.4,613.2,28,0.399920016,3.787139584
50,0,3,1124.4,613.2,28,0.444345701,3.673257841
17.2,158,20.8,967,633,28,0.420654912,4.019081824
17.5,163,17.9,996,652,28,0.501501502,3.85608713
17.6,158,15.3,967,633,28,0.565868263,3.791661409
0,0,0,1120,695,28,0.432098765,3.956996121
200,0,0,1145,660,28,0.95,3.896909122
0,0,8.3,801,802,28,0.313953488,3.722555746
116,119,5.7,833,880,28,1.268965517,3.372797694
128,122,6.4,824,879,28,1.1375,3.673765584
156,0,5.9,981,760,28,0.807692308,3.671224287
180,95,9.5,860,800,28,0.636,4.217593845
0,0,9.5,1044,662,28,0.341052632,4.069368319
190,0,7.6,1031,685,28,0.571929825,3.981175613
119,0,9,1061,657,28,0.449438202,4.077537187
180,120,10.4,830,765,28,0.589090909,4.333885986
0,0,9,1033,655,28,0.302,4.246206644
0,143.6,0,1005.6,900.9,3,0.992727273,2.667228038
128.5,132.1,8.1,1005.8,746.6,3,1.061212121,2.966303276
129.8,118.6,3.6,1007.3,746.8,3,1.010674157,3.031581735
129.9,128.6,7.8,1006.3,746.6,3,1.048387097,2.704042009
13.6,172.4,4.1,1006.3,856.4,3,0.909512761,3.058237286
50.1,173.5,6.5,1006.2,793.5,3,0.949855908,3.138966244
75.4,167,7.9,1007.3,770.1,3,0.982035928,2.742129342
93.4,159.9,9.7,1007.2,746.6,3,0.99136939,2.761274788
0,125.2,9.9,1079,798.9,3,0.8754598,2.529720506
0,95.7,5.3,948.9,857.2,3,0.7672,2.138888865
0,174.2,11.7,1043.6,771.9,3,0.745667447,2.747911561
0,100.5,7.5,998,901.8,3,0.874165383,2.499795105
0,118.3,5.8,1043.6,754.3,3,0.767303103,2.483238436
0,143.6,0,1005.6,900.9,14,0.992727273,2.826129311
128.5,132.1,8.1,1005.8,746.6,14,1.061212121,3.499230901
129.8,118.6,3.6,1007.3,746.8,14,1.010674157,3.533394328
129.9,128.6,7.8,1006.3,746.6,14,1.048387097,3.459780487
13.6,172.4,4.1,1006.3,856.4,14,0.909512761,3.392828918
50.1,173.5,6.5,1006.2,793.5,14,0.949855908,3.496810325
75.4,167,7.9,1007.3,770.1,14,0.982035928,3.493472437
93.4,159.9,9.7,1007.2,746.6,14,0.99136939,3.38608353
0,125.2,9.9,1079,798.9,14,0.8754598,2.966303276
0,95.7,5.3,948.9,857.2,14,0.7672,3.205182295
0,174.2,11.7,1043.6,771.9,14,0.745667447,3.387436253
0,100.5,7.5,998,901.8,14,0.874165383,3.189652765
0,118.3,5.8,1043.6,754.3,14,0.767303103,3.031581735
0,143.6,0,1005.6,900.9,28,0.992727273,3.265759205
128.5,132.1,8.1,1005.8,746.6,28,1.061212121,3.837083677
129.8,118.6,3.6,1007.3,746.8,28,1.010674157,3.667655586
129.9,128.6,7.8,1006.3,746.6,28,1.048387097,3.718438022
13.6,172.4,4.1,1006.3,856.4,28,0.909512761,3.517200835
50.1,173.5,6.5,1006.2,793.5,28,0.949855908,3.642835286
75.4,167,7.9,1007.3,770.1,28,0.982035928,3.723522163
93.4,159.9,9.7,1007.2,746.6,28,0.99136939,3.632573389
0,125.2,9.9,1079,798.9,28,0.8754598,3.21285755
0,95.7,5.3,948.9,857.2,28,0.7672,3.303951789
0,174.2,11.7,1043.6,771.9,28,0.745667447,3.798630078
0,100.5,7.5,998,901.8,28,0.874165383,3.618188485
0,118.3,5.8,1043.6,754.3,28,0.767303103,3.504655869
0,143.6,0,1005.6,900.9,56,0.992727273,3.598954519
128.5,132.1,8.1,1005.8,746.6,56,1.061212121,3.98378512
129.8,118.6,3.6,1007.3,746.8,56,1.010674157,3.883417503
129.9,128.6,7.8,1006.3,746.6,56,1.048387097,3.945844305
13.6,172.4,4.1,1006.3,856.4,56,0.909512761,3.579343341
50.1,173.5,6.5,1006.2,793.5,56,0.949855908,3.984715439
75.4,167,7.9,1007.3,770.1,56,0.982035928,3.97893346
93.4,159.9,9.7,1007.2,746.6,56,0.99136939,3.89161595
0,125.2,9.9,1079,798.9,56,0.8754598,3.456947179
0,95.7,5.3,948.9,857.2,56,0.7672,3.679838477
0,174.2,11.7,1043.6,771.9,56,0.745667447,3.936910472
