,blst,flh,sup,cag,fag,age,inX,outY
820,0.0,0.0,0.0,1125.0,613.0,270,0.36,4.206332799
462,13.6,172.4,4.1,1006.3,856.4,100,0.909512761,3.629129221
1011,120.5,93.9,9.2,904.4,695.9,28,0.652975983,3.779633579
648,212.0,0.0,0.0,971.8,748.5,28,1.44019816,3.397523762
265,0.0,124.8,7.8,1085.4,799.5,14,0.75,3.44521405
186,0.0,96.7,4.5,967.1,870.3,28,0.851169065,3.214465914
486,20.0,94.0,13.9,938.0,845.0,28,0.405684755,3.843315565
576,0.0,0.0,0.0,1069.2,754.3,7,0.547464623,3.053057148
931,15.0,195.0,6.0,1021.0,709.0,28,1.222222222,2.730463624
571,342.1,0.0,0.0,955.8,674.3,28,0.814473684,3.681350955
582,155.5,0.0,0.0,1026.6,724.3,28,1.090428655,3.247657421
465,93.4,159.9,9.7,1007.2,746.6,100,0.99136939,3.930648222
237,98.1,24.5,6.7,1066.0,785.5,56,0.849859682,3.852909498
43,0.0,0.0,0.0,932.0,670.0,180,0.6,3.972176678
491,20.0,94.0,14.3,938.0,845.0,7,0.405684755,3.606583984
550,0.0,0.0,0.0,940.6,785.6,7,0.488549618,3.322875205
932,174.0,185.0,7.0,845.0,612.0,28,1.480519481,3.192120886
351,0.0,174.2,11.7,1052.3,775.5,28,0.72412178,3.827335956
891,0.0,185.0,16.0,1074.0,678.0,28,1.105960265,2.59972216
937,0.0,113.0,8.0,1001.9,688.7,28,0.569741462,3.605497618
881,145.0,113.0,8.0,1002.0,689.0,28,1.163398693,3.241028425
587,158.8,0.0,0.0,1040.6,734.3,28,0.779596977,3.292497757
180,177.0,0.0,11.1,884.9,707.9,91,0.423690205,4.294560338
461,129.9,128.6,7.8,1006.3,746.6,100,1.048387097,3.982667594
612,0.0,0.0,0.0,968.0,856.0,28,0.689530686,3.25694182
913,0.0,107.0,13.0,953.0,784.0,28,0.55033557,3.579622242
32,132.4,0.0,0.0,978.4,825.5,180,0.966767372,3.730980395
30,76.0,0.0,0.0,932.0,670.0,365,0.75,4.012049066
179,189.0,0.0,11.6,944.7,755.8,91,0.454771098,4.373237853
711,203.5,0.0,0.0,965.4,631.0,90,0.666557484,4.00003363
382,0.0,60.0,0.0,1030.0,630.0,28,0.386138614,4.159195272
620,0.0,0.0,0.0,968.0,863.0,365,0.779527559,3.394172553
284,0.0,167.0,7.6,1055.6,777.8,3,0.934950386,2.611539136
783,0.0,0.0,0.0,1085.0,765.0,90,0.648648649,3.380654267
515,11.0,141.0,1.7,942.0,801.0,28,1.01980198,3.089677691
38,0.0,0.0,0.0,932.0,594.0,90,0.48,3.743130633
246,0.0,94.1,7.0,949.9,847.0,28,0.784124318,3.408834594
1,0.0,0.0,2.5,1055.0,676.0,28,0.3,4.125358355
390,50.0,0.0,3.0,1124.4,613.2,28,0.444345701,3.673257841
440,0.0,125.2,9.9,1079.0,798.9,28,0.8754598,3.21285755
609,0.0,0.0,0.0,968.0,885.0,180,0.81779661,3.18221164
283,0.0,118.3,6.4,1028.4,757.7,100,0.749801114,3.788950769
702,133.0,0.0,0.0,965.4,806.2,7,0.96,2.843163495
504,26.0,123.0,3.9,822.0,699.0,3,0.409368635,3.38608353
158,177.0,0.0,11.1,884.9,707.9,56,0.423690205,4.272490478
23,209.4,0.0,0.0,1047.0,806.9,180,1.375358166,3.788950769
699,305.3,0.0,0.0,963.4,630.0,3,1.0,2.257587585
359,54.6,123.8,11.9,1075.7,792.7,3,0.64527956,3.311272465
454,0.0,95.7,5.3,948.9,857.2,56,0.7672,3.679838477
9,0.0,0.0,0.0,932.0,594.0,28,0.48,3.670969802
456,0.0,100.5,7.5,998.0,901.8,56,0.874165383,3.770228762
698,305.3,0.0,0.0,963.4,630.0,28,1.0,3.730021162
829,105.0,82.0,9.0,904.0,680.0,28,0.769230769,3.615501756
7,95.0,0.0,0.0,932.0,594.0,28,0.6,3.595941232
267,0.0,124.8,7.8,1085.4,799.5,56,0.75,3.808438449
476,24.0,79.0,11.6,967.0,712.0,3,0.3632287,3.219675302
77,106.3,0.0,16.5,852.1,887.1,3,0.361176471,3.508555679
907,145.0,113.0,8.0,869.0,690.0,28,0.570063694,3.833628696
218,0.0,125.2,9.9,1088.1,802.6,100,0.850761955,3.698581996
994,0.0,0.0,6.7,1013.2,730.4,28,0.508148544,3.665098694
1020,121.0,0.0,7.0,907.9,829.5,28,0.615117892,3.740997172
946,236.0,0.0,12.6,846.8,892.7,28,1.175919732,3.495294484
217,0.0,125.2,9.9,1088.1,802.6,56,0.850761955,3.652215239
216,0.0,125.2,9.9,1088.1,802.6,28,0.850761955,3.34885069
290,45.2,122.0,8.2,1059.4,780.7,14,0.935164835,3.068052742
317,0.0,99.9,12.4,1006.0,899.8,56,0.580222399,3.787366162
1018,0.0,127.9,11.5,870.1,779.7,28,0.567828251,3.618188485
782,0.0,0.0,0.0,1085.0,765.0,28,0.648648649,3.07500526
732,0.0,0.0,0.0,1056.0,809.0,7,0.550143266,2.198334933
204,0.0,121.6,5.7,1057.6,779.3,3,0.850070721,2.5233256
430,0.0,100.5,7.5,998.0,901.8,14,0.874165383,3.189652765
485,20.0,94.0,14.3,938.0,845.0,28,0.405684755,3.916811275
370,0.0,124.1,11.3,1078.7,794.9,14,0.72407492,3.260017562
887,0.0,138.0,11.0,801.0,792.0,28,0.610429448,3.705736337
495,20.0,94.0,13.9,938.0,845.0,56,0.405684755,3.870575571
489,20.0,94.0,13.9,938.0,845.0,3,0.405684755,3.239070328
789,0.0,0.0,0.0,1047.0,806.0,28,0.550143266,3.487986292
455,0.0,174.2,11.7,1043.6,771.9,56,0.745667447,3.936910472
78,97.1,0.0,12.1,852.1,925.7,3,0.406330417,3.335769366
531,0.0,0.0,0.0,838.4,719.7,28,0.5,3.171784017
353,0.0,174.2,11.7,1052.3,775.5,100,0.72412178,4.082609048
844,137.0,107.0,6.0,878.0,655.0,28,0.674496644,3.980055165
354,97.8,24.5,11.2,1061.7,782.5,3,0.57972583,3.416085779
250,0.0,95.7,5.5,956.9,861.2,14,0.7496,3.215670491
326,0.0,98.8,14.2,987.8,889.0,28,0.57986524,3.923951329
376,0.0,0.0,0.0,1003.5,762.4,28,0.570744681,3.464797744
162,189.2,0.0,10.1,926.1,756.7,91,0.454812834,4.17284736
393,17.6,158.0,15.3,967.0,633.0,28,0.565868263,3.791661409
557,170.3,0.0,0.0,1026.6,724.3,7,0.726810176,2.847232086
522,15.0,141.0,5.5,842.0,801.0,56,0.63028169,3.795938287
867,260.0,0.0,13.0,859.0,827.0,28,1.102409639,3.6352147
205,0.0,121.6,5.7,1057.6,779.3,14,0.850070721,3.040705447
356,97.8,24.5,11.2,1061.7,782.5,28,0.57972583,4.145354222
848,97.0,76.0,8.0,835.0,821.0,28,0.76984127,3.508555679
794,0.0,0.0,0.0,974.0,817.0,180,0.67218543,3.286160364
598,0.0,0.0,0.0,968.0,781.0,3,0.581120944,2.581730671
500,26.0,123.0,3.9,822.0,699.0,28,0.409368635,4.059062492
171,0.0,0.0,28.2,852.1,893.7,91,0.266892528,4.080921284
558,181.9,0.0,0.0,1012.4,714.3,7,0.680718475,2.984165449
924,196.0,98.0,6.0,847.0,783.0,28,1.463235294,3.294724929
175,189.0,0.0,11.6,944.7,755.8,91,0.454771098,4.373237853
99,117.2,0.0,32.2,852.1,840.5,7,0.293816631,4.005513096
114,189.0,0.0,11.6,944.7,755.8,7,0.454771098,3.131136713
287,0.0,167.0,7.6,1055.6,777.8,56,0.934950386,3.571502361
843,167.0,130.0,11.0,883.0,785.0,28,1.225352113,3.797957809
156,200.9,0.0,11.2,1004.6,803.7,56,0.505413902,4.290322175
145,117.2,0.0,32.2,852.1,840.5,56,0.293816631,4.238444639
559,359.4,0.0,0.0,941.6,664.3,28,0.775041736,3.674780298
314,0.0,99.9,12.4,1006.0,899.8,3,0.580222399,3.045474173
806,0.0,0.0,0.0,1047.0,739.0,7,0.484293194,3.17805363
714,102.0,0.0,0.0,888.0,943.1,7,1.254901961,2.12465375
997,142.8,0.0,10.0,914.3,804.0,28,0.541612903,3.813306792
257,0.0,100.4,8.7,1007.8,903.6,56,0.749647059,3.750679618
533,0.0,0.0,0.0,913.2,895.3,3,0.664359862,2.455306025
592,0.0,0.0,0.0,1047.8,739.3,28,0.485490196,3.622739423
599,0.0,0.0,0.0,968.0,781.0,7,0.581120944,3.043092653
163,262.2,0.0,8.6,1046.9,611.8,91,0.560165975,4.198704313
363,54.6,123.8,11.9,1075.7,792.7,100,0.64527956,4.151511973
264,0.0,124.8,7.8,1085.4,799.5,3,0.75,2.971439393
427,0.0,125.2,9.9,1079.0,798.9,14,0.8754598,2.966303276
498,19.0,97.0,12.3,967.0,871.0,28,0.408450704,4.01548146
902,170.0,0.0,8.0,811.0,802.0,28,0.589123867,4.036185393
786,0.0,0.0,0.0,978.0,825.0,28,0.580060423,3.448398766
958,100.6,78.4,10.4,935.7,762.9,28,0.65640631,3.907412146
282,0.0,118.3,6.4,1028.4,757.7,56,0.749801114,3.601140313
425,75.4,167.0,7.9,1007.3,770.1,14,0.982035928,3.493472437
827,0.0,0.0,0.0,896.0,896.0,7,0.279693487,3.922171089
679,141.3,0.0,0.0,973.4,750.0,28,0.95990566,3.496507341
422,129.9,128.6,7.8,1006.3,746.6,14,1.048387097,3.459780487
910,136.0,106.0,7.0,941.0,774.0,28,1.236111111,3.263466502
24,0.0,0.0,0.0,932.0,670.0,365,0.6,3.961193799
659,162.4,0.0,0.0,938.2,849.0,90,1.879039705,3.375195366
521,15.0,141.0,5.5,842.0,801.0,7,0.63028169,3.183455679
883,236.0,0.0,13.0,847.0,893.0,28,1.181208054,3.495294484
915,184.0,143.0,9.0,880.0,699.0,28,1.251612903,3.36695073
524,19.0,141.0,10.9,942.0,801.0,28,0.428969359,4.085807973
369,0.0,124.1,11.3,1078.7,794.9,3,0.72407492,2.730463624
130,282.8,0.0,10.3,942.7,659.9,28,0.5678097,4.31347982
248,0.0,94.1,7.0,949.9,847.0,100,0.784124318,3.790984438
964,170.2,132.6,8.5,814.1,805.3,28,1.333333333,3.396854418
967,183.4,0.0,9.1,877.2,867.7,28,1.24870801,3.169265124
1012,166.4,0.0,8.9,881.6,790.0,28,0.534398034,4.114800311
312,0.0,95.6,8.9,955.1,859.2,56,0.579979709,3.886089378
695,173.0,0.0,0.0,909.8,891.9,28,1.655172414,3.106826125
493,20.0,94.0,11.6,938.0,845.0,7,0.405684755,3.72978121
800,0.0,0.0,0.0,1111.0,784.0,7,0.734126984,2.618125328
831,144.0,112.0,10.0,923.0,658.0,28,1.428571429,2.803360204
547,0.0,0.0,0.0,931.2,842.6,7,0.576576577,3.152735823
34,190.0,0.0,0.0,932.0,670.0,365,1.2,3.983226513
268,0.0,124.8,7.8,1085.4,799.5,100,0.75,3.867443718
1022,111.0,86.5,5.9,832.6,790.4,28,0.739130435,3.726656583
518,11.0,141.0,1.7,942.0,801.0,56,1.01980198,3.146304933
962,0.0,133.6,11.1,979.5,811.5,28,1.248618785,2.580216667
46,0.0,0.0,0.0,1047.0,806.9,3,0.550143266,2.71137782
434,129.8,118.6,3.6,1007.3,746.8,28,1.010674157,3.667655586
362,54.6,123.8,11.9,1075.7,792.7,56,0.64527956,4.126972821
286,0.0,167.0,7.6,1055.6,777.8,28,0.934950386,3.323956092
929,105.0,193.0,6.0,965.0,643.0,28,1.451851852,3.086942959
272,0.0,121.6,6.7,1056.4,778.5,56,0.75064711,3.754198683
1029,100.5,78.3,8.6,864.5,761.5,28,0.768876964,3.478158203
693,102.0,0.0,0.0,888.0,943.1,28,1.254901961,2.888146881
352,0.0,174.2,11.7,1052.3,775.5,56,0.72412178,3.940221411
360,54.6,123.8,11.9,1075.7,792.7,14,0.64527956,3.582406984
773,0.0,0.0,0.0,1047.0,739.0,28,0.486910995,3.622205092
11,132.4,0.0,0.0,978.4,825.5,28,0.966767372,3.332918331
514,22.0,132.0,8.9,822.0,750.0,56,0.396226415,4.308917891
377,0.0,0.0,0.0,1003.5,762.4,56,0.570744681,3.591817515
342,0.0,117.5,9.5,1022.8,753.5,56,0.588156124,3.950473943
900,237.0,0.0,12.0,1069.0,675.0,28,1.16,3.622472293
526,19.0,141.0,10.9,942.0,801.0,3,0.428969359,3.162939993
345,0.0,174.7,10.2,1053.5,776.4,14,0.724379972,3.518387427
329,0.0,125.1,12.0,1086.8,800.9,3,0.580632091,3.157850924
990,178.1,138.7,18.3,944.0,694.6,28,1.10342556,3.593193977
212,0.0,118.3,4.6,1029.4,758.6,56,0.85,3.451256364
629,0.0,0.0,0.0,1113.0,833.0,7,0.804444444,2.413231461
238,98.1,24.5,6.7,1066.0,785.5,100,0.849859682,3.911422579
959,160.5,0.0,9.6,916.6,759.5,28,0.56759348,3.959860085
72,106.3,0.0,16.5,852.1,887.1,3,0.361176471,3.508555679
977,145.0,0.0,8.0,1001.9,688.7,28,0.569741462,3.714790601
357,97.8,24.5,11.2,1061.7,782.5,56,0.57972583,4.202002172
922,99.0,77.0,6.0,919.0,749.0,28,0.741176471,3.52046058
710,166.8,0.0,0.0,977.6,694.1,28,0.813349321,3.609836019
105,94.7,0.0,11.4,946.8,852.1,7,0.366849179,3.990833934
941,210.2,0.0,3.1,949.4,795.3,28,1.470323065,3.365224509
722,0.0,0.0,0.0,1012.0,830.0,7,0.619354839,2.847232086
81,212.5,0.0,14.3,852.1,880.4,3,0.488393977,3.226843791
718,183.9,0.0,0.0,958.2,800.1,7,1.659869494,2.336986372
933,187.0,195.0,7.0,898.0,636.0,28,1.107784431,3.173459761
123,106.3,0.0,16.5,852.1,887.1,28,0.361176471,4.099165994
896,161.0,0.0,10.0,917.0,759.0,28,0.568690096,3.959669409
1027,139.4,108.6,6.1,892.4,780.0,28,1.297643098,3.165474848
170,97.1,0.0,12.1,852.1,925.7,91,0.406330417,4.053522312
925,163.0,128.0,8.0,961.0,641.0,28,1.201219512,3.304319098
458,0.0,143.6,0.0,1005.6,900.9,100,0.992727273,3.636532744
972,172.6,0.0,3.4,985.8,816.8,28,1.248455731,3.167161189
1001,137.2,106.9,6.0,878.4,655.3,28,0.675957018,3.980055165
974,0.0,182.1,15.0,838.9,884.3,28,1.224848076,2.742773464
270,0.0,121.6,6.7,1056.4,778.5,14,0.75064711,3.28728165
828,0.0,0.0,0.0,896.0,896.0,28,0.279693487,4.317354499
416,0.0,174.2,11.7,1043.6,771.9,3,0.745667447,2.747911561
101,97.1,0.0,12.1,852.1,925.7,7,0.406330417,3.552486605
177,189.0,0.0,11.6,944.7,755.8,91,0.454771098,4.373237853
774,0.0,0.0,0.0,1111.0,784.0,7,0.486910995,2.439734777
574,203.5,0.0,0.0,1076.2,759.3,7,1.368459838,2.016235339
220,0.0,163.3,4.5,1058.6,780.1,14,1.062612884,3.237893626
541,0.0,0.0,0.0,931.2,842.6,3,0.576576577,2.748551971
263,0.0,100.4,10.4,1003.8,903.8,100,0.749764817,3.865769377
230,98.1,24.5,6.9,1065.8,785.4,14,0.85025737,3.414113391
586,0.0,0.0,0.0,1104.6,784.3,7,0.486890404,2.676903303
466,0.0,125.2,9.9,1079.0,798.9,100,0.8754598,3.51333466
229,98.1,24.5,6.9,1065.8,785.4,3,0.85025737,2.890371575
530,19.0,141.0,10.9,942.0,801.0,56,0.428969359,4.201403369
193,0.0,94.6,4.6,947.0,852.2,100,0.846449957,3.54269672
645,305.3,0.0,0.0,963.4,630.0,7,1.0,2.972463459
82,94.7,0.0,11.4,946.8,852.1,3,0.366849179,3.716007887
199,0.0,125.4,7.8,1090.0,804.0,3,0.850026219,2.710713147
107,282.8,0.0,10.3,942.7,659.9,7,0.5678097,3.908014737
260,0.0,100.4,10.4,1003.8,903.8,14,0.749764817,3.23356717
96,106.3,0.0,18.6,936.0,803.7,7,0.356235294,3.84588296
214,0.0,125.2,9.9,1088.1,802.6,3,0.850761955,2.2460146
394,0.0,0.0,0.0,1120.0,695.0,28,0.432098765,3.956996121
917,175.0,0.0,2.0,1000.0,828.0,28,1.155405405,3.292869297
568,0.0,0.0,0.0,1040.6,734.3,7,0.467758186,3.236715539
1002,164.2,0.0,4.6,870.0,774.0,28,0.592903828,4.046903232
944,145.0,113.0,8.0,1001.9,688.7,28,1.165904637,3.241028425
307,0.0,97.4,11.8,973.9,875.6,56,0.579574161,3.932609391
517,11.0,141.0,1.7,942.0,801.0,7,1.01980198,2.712705841
575,0.0,0.0,0.0,1118.8,789.3,28,0.779924402,2.866761711
55,132.4,0.0,0.0,978.4,825.5,7,0.966767372,2.683757339
919,0.0,0.0,8.0,1000.0,822.0,28,0.568690096,3.222867643
826,0.0,0.0,0.0,936.0,721.0,3,0.4,3.194173011
479,24.0,79.0,11.6,967.0,712.0,7,0.3632287,3.638112107
91,189.0,0.0,11.6,944.7,755.8,3,0.454771098,3.563882739
621,0.0,0.0,0.0,968.0,812.0,180,0.628664495,3.540669204
28,47.5,0.0,0.0,932.0,594.0,28,0.533333333,3.622472293
474,24.0,79.0,10.3,967.0,712.0,28,0.3632287,3.977623211
852,0.0,107.0,6.0,879.0,815.0,28,0.624161074,3.752792543
154,151.2,0.0,15.9,1134.3,605.0,56,0.405533597,4.005513096
0,0.0,0.0,2.5,1040.0,676.0,28,0.3,4.38190135
395,200.0,0.0,0.0,1145.0,660.0,28,0.95,3.896909122
408,129.8,118.6,3.6,1007.3,746.8,3,1.010674157,3.031581735
890,0.0,195.0,11.0,898.0,713.0,28,1.392405063,2.144760872
637,0.0,0.0,0.0,1038.0,758.0,7,0.496,3.260401366
663,200.0,0.0,0.0,927.4,839.2,28,1.443609023,3.327550632
122,117.2,0.0,32.2,852.1,840.5,28,0.293816631,4.203198702
961,0.0,0.0,3.4,985.8,816.8,28,0.540564636,3.80376918
873,92.0,71.0,6.0,853.0,695.0,28,1.042194093,3.354454907
921,0.0,143.0,9.0,877.0,868.0,28,1.24516129,2.276240974
916,134.0,0.0,6.0,924.0,760.0,28,0.674740484,3.833844982
168,117.2,0.0,32.2,852.1,840.5,91,0.293816631,4.258445304
549,0.0,0.0,0.0,931.2,842.6,90,0.576576577,3.730021162
824,0.0,0.0,0.0,974.0,817.0,28,0.67218543,3.079613563
100,106.3,0.0,16.5,852.1,887.1,7,0.361176471,3.895893378
160,189.0,0.0,11.6,944.7,755.8,56,0.454771098,4.347693681
13,190.0,0.0,0.0,932.0,670.0,90,1.2,3.745495818
129,189.0,0.0,11.6,944.7,755.8,28,0.454771098,4.266896058
325,0.0,98.8,14.2,987.8,889.0,14,0.57986524,3.744550415
520,15.0,141.0,5.5,842.0,801.0,3,0.63028169,2.595254543
277,0.0,118.3,5.8,1028.4,757.7,56,0.749801114,3.610106545
617,0.0,0.0,0.0,968.0,863.0,3,0.779527559,2.23108895
830,190.0,148.0,19.0,838.0,741.0,28,1.104938272,3.519276448
675,122.6,0.0,0.0,959.2,800.0,90,1.106579663,3.482162521
992,0.0,174.9,17.9,942.7,844.5,28,1.103064067,2.735665195
752,0.0,0.0,0.0,1125.0,613.0,14,0.32037037,4.090336283
889,111.0,86.0,5.0,895.0,733.0,28,0.744274809,3.518090911
346,0.0,174.7,10.2,1053.5,776.4,28,0.724379972,3.692622207
137,189.0,0.0,11.6,944.7,755.8,28,0.454771098,4.266896058
201,0.0,125.4,7.8,1090.0,804.0,28,0.850026219,3.273363804
94,262.2,0.0,8.6,1046.9,611.8,7,0.560165975,3.756537866
31,114.0,0.0,0.0,932.0,670.0,365,0.857142857,3.968592106
671,157.0,0.0,0.0,972.6,749.1,7,0.813559322,3.016514622
736,0.0,0.0,0.0,1119.0,789.0,7,0.781512605,2.489064503
795,0.0,0.0,0.0,1125.0,613.0,180,0.36,4.125842969
822,0.0,0.0,0.0,974.0,800.0,28,0.630434783,3.226049825
954,0.0,185.3,15.6,1074.5,678.0,28,1.106171201,2.59972216
412,75.4,167.0,7.9,1007.3,770.1,3,0.982035928,2.742129342
223,0.0,163.3,4.5,1058.6,780.1,100,1.062612884,3.512738535
545,0.0,0.0,0.0,889.8,945.0,28,0.752941176,2.931193567
254,0.0,100.4,8.7,1007.8,903.6,3,0.749647059,2.605648103
834,143.0,111.0,22.0,914.0,651.0,28,0.541935484,3.517200835
570,0.0,0.0,0.0,1091.4,769.3,28,0.627789047,3.227637127
611,0.0,0.0,0.0,968.0,856.0,14,0.689530686,3.05682718
386,0.0,0.0,6.9,920.0,720.0,28,0.350378788,4.0400641
577,203.5,0.0,0.0,1076.2,759.3,28,1.368459838,2.901421411
25,0.0,0.0,0.0,932.0,670.0,270,0.6,3.97593608
998,0.0,99.6,9.8,959.4,705.2,28,0.643044619,3.405189188
397,116.0,119.0,5.7,833.0,880.0,28,1.268965517,3.372797694
80,106.3,0.0,16.5,852.1,887.1,3,0.361176471,3.508555679
241,0.0,118.2,6.1,1028.1,757.6,28,0.849804092,3.200304237
146,106.3,0.0,16.5,852.1,887.1,56,0.361176471,4.163559368
692,141.3,0.0,0.0,973.4,750.0,90,0.95990566,3.681350955
869,0.0,116.0,10.0,818.0,813.0,28,0.608695652,3.439776647
715,212.0,0.0,0.0,971.8,748.5,90,1.44019816,3.680342891
546,0.0,0.0,0.0,931.2,842.6,28,0.576576577,3.464797744
243,0.0,118.2,6.1,1028.1,757.6,100,0.849804092,3.710151355
507,22.0,132.0,8.5,822.0,750.0,28,0.419811321,4.127940251
76,117.2,0.0,32.2,852.1,840.5,3,0.293816631,3.693866763
202,0.0,125.4,7.8,1090.0,804.0,56,0.850026219,3.565015242
535,0.0,0.0,0.0,940.6,785.6,90,0.488549618,3.888754133
69,0.0,0.0,0.0,1120.0,800.0,28,0.301030928,4.276526951
115,189.0,0.0,9.5,944.7,755.8,7,0.51760876,3.558200906
860,0.0,113.0,10.0,925.0,783.0,28,0.541401274,3.64961851
285,0.0,167.0,7.6,1055.6,777.8,14,0.934950386,3.072693121
787,0.0,0.0,0.0,978.0,825.0,90,0.580060423,3.61711466
775,0.0,0.0,0.0,1104.0,774.0,28,0.661921708,3.110844884
894,169.0,143.0,8.0,967.0,643.0,28,1.335664336,3.391820006
846,187.0,0.0,7.0,824.0,757.0,28,0.521857923,4.188289911
807,0.0,0.0,0.0,1047.0,739.0,28,0.484293194,3.622205092
726,0.0,0.0,0.0,1025.0,821.0,3,0.580060423,2.660958426
745,0.0,0.0,0.0,1104.0,774.0,28,0.658362989,3.110844884
477,24.0,79.0,11.6,967.0,712.0,3,0.3632287,3.150596785
652,153.0,0.0,0.0,887.0,942.0,3,1.882352941,1.519513109
